Destination,Budget_Min,Budget_Max,Start_Date,End_Date,Travel_Type,Activities,Accommodation_Type,Cuisine,Past_Travel_History,Language,Geographical_Features,Cost,Weather_Conditions,Accessibility,Accommodation_Options,Cultural_Highlights,Local_Cuisine,User_Reviews,Special_Features,Tourist_Spots
Mumbai,11526,79780,2024-07-25,2024-11-08,Solo,Relaxation,Hostel,Street Food,Delhi,English,Goa,20000-30000,Moderate,Medium,Resort,Surface theory international whether wind enjoy.,North Indian,5,Check environment detail bit they ten.,"Munnar, Alleppey, Varkala"
Delhi,53810,76085,2024-05-11,2024-10-05,Family,"Food-related, Nature, Cultural",Resort,South Indian,"Jaipur, Mumbai, Delhi",English,Goa,50000-60000,Tropical,High,Hotel,Difficult condition traditional short.,Seafood,4,Much others hair.,"Fort Kochi, Thekkady"
Varanasi,81367,59331,2024-04-24,2024-05-14,Solo,"Nature, Relaxation, Cultural",Homestay,South Indian,"Kerala, Jaipur, Delhi",English,Jaipur,130000-140000,Moderate,Medium,Resort,Walk despite near.,North Indian,4,Blue firm manage name.,Kashi Vishwanath Temple
Mumbai,121649,28311,2024-01-21,2024-05-09,Solo,Food-related,Hotel,Seafood,"Rishikesh, Kerala, Varanasi",English,Manali,80000-90000,Tropical,Low,Homestay,Theory foreign ability.,North Indian,3,Check edge born conference road.,Periyar Wildlife Sanctuary
Varanasi,179872,103016,2024-02-23,2024-07-31,Family,"Adventure, Relaxation, Food-related",Hotel,North Indian,Jaipur,English,Mumbai,20000-30000,Moderate,High,Villa,Program late theory from teacher community.,Street Food,2,Democrat wish material challenge wind.,"Solang Valley, Rohtang Pass"
Rishikesh,192118,29258,2024-11-29,2024-12-08,Family,"Food-related, Adventure",Hotel,Vegetarian,"Mumbai, Rishikesh, Goa",English,Delhi,170000-180000,Moderate,High,Homestay,Agree majority over.,South Indian,3,Inside coach professor.,"Munnar, Alleppey, Varkala"
Goa,5380,54856,2024-11-02,2025-01-11,Couple,"Adventure, Food-related",Homestay,South Indian,"Jaipur, Kerala, Leh",English,Goa,50000-60000,Tropical,Medium,Villa,Never various another own.,South Indian,5,Environmental finally why manage something appear why.,"Fort Kochi, Thekkady"
Kerala,132107,100258,2024-03-20,2024-11-05,Family,"Adventure, Food-related",Resort,Seafood,Delhi,English,Leh,30000-40000,Snowy,High,Hotel,Method painting support.,Seafood,2,Physical government sell serious.,Kashi Vishwanath Temple
Andaman,58587,110012,2024-07-12,2024-08-27,Group,Nature,Homestay,Seafood,Mumbai,English,Andaman,80000-90000,Tropical,High,Hostel,Country your response difference thank vote.,Seafood,1,Drive employee suddenly not color.,Periyar Wildlife Sanctuary
Kerala,29060,79832,2024-06-07,2024-11-25,Group,"Cultural, Relaxation",Resort,Street Food,"Delhi, Manali",English,Delhi,10000-20000,Moderate,Low,Hostel,Apply free source break consumer.,Street Food,1,Huge mission nearly worry ball.,"Solang Valley, Rohtang Pass"
Kerala,43192,5300,2024-05-27,2024-11-08,Family,Nature,Hostel,Street Food,"Mumbai, Rishikesh",English,Jaipur,40000-50000,Tropical,High,Homestay,Detail teach learn imagine.,Seafood,5,Poor big lose write wife piece.,"Munnar, Alleppey, Varkala"
Manali,197557,64129,2024-12-01,2024-12-06,Solo,"Relaxation, Adventure, Food-related",Resort,Street Food,"Kerala, Rishikesh, Mumbai",English,Rishikesh,30000-40000,Tropical,Low,Villa,Outside single these right owner so.,North Indian,2,Bad minute perhaps.,"Fort Kochi, Thekkady"
Jaipur,123632,181134,2024-02-27,2024-04-01,Solo,"Food-related, Nature",Hotel,South Indian,Mumbai,English,Kerala,40000-50000,Tropical,Low,Resort,Chair bed determine.,North Indian,4,Somebody commercial clear.,Kashi Vishwanath Temple
Goa,146261,110559,2024-09-21,2024-10-10,Solo,Food-related,Homestay,Vegetarian,"Kerala, Jaipur",English,Delhi,10000-20000,Snowy,Medium,Homestay,Hospital amount establish sell.,Vegetarian,4,Nothing foreign job action quickly plant.,Periyar Wildlife Sanctuary
Rishikesh,185018,51093,2024-03-21,2024-12-01,Solo,"Nature, Adventure, Relaxation",Homestay,North Indian,Jaipur,English,Manali,190000-200000,Moderate,High,Resort,They agree factor take energy.,South Indian,3,This imagine affect trip expect.,"Solang Valley, Rohtang Pass"
Jaipur,105989,28976,2024-03-21,2024-03-22,Solo,"Cultural, Nature, Food-related",Villa,Seafood,"Kerala, Manali",English,Manali,0-10000,Tropical,Medium,Hostel,Friend east beat turn.,South Indian,4,Blood population through civil.,"Munnar, Alleppey, Varkala"
Varanasi,170242,182608,2024-09-21,2024-11-12,Group,Relaxation,Hotel,Vegetarian,"Mumbai, Delhi",English,Varanasi,10000-20000,Moderate,Low,Villa,Itself hair security.,Vegetarian,2,Station hotel traditional.,"Fort Kochi, Thekkady"
Kerala,173721,138346,2024-10-05,2024-10-28,Group,"Cultural, Food-related, Relaxation",Resort,Street Food,Manali,English,Andaman,30000-40000,Tropical,Medium,Hostel,Artist room example view have back.,North Indian,2,Create product of.,Kashi Vishwanath Temple
Varanasi,60254,117301,2024-02-16,2024-07-06,Family,"Cultural, Nature",Villa,South Indian,"Andaman, Goa, Mumbai",English,Varanasi,190000-200000,Snowy,High,Hostel,Because health interest case culture.,Vegetarian,5,Remember view become serious force represent.,Periyar Wildlife Sanctuary
Mumbai,80828,95156,2024-01-07,2024-11-04,Group,"Relaxation, Cultural, Food-related",Resort,South Indian,"Goa, Manali",English,Delhi,0-10000,Moderate,Low,Hostel,Camera activity herself card near.,Seafood,1,Market create attorney.,"Solang Valley, Rohtang Pass"
Delhi,172392,50287,2024-10-03,2024-11-15,Family,"Cultural, Relaxation",Hostel,North Indian,"Goa, Varanasi",English,Kerala,70000-80000,Tropical,Medium,Resort,Voice without firm team degree.,North Indian,4,Cold civil law it mother.,"Munnar, Alleppey, Varkala"
Rishikesh,184809,87822,2024-01-26,2024-12-28,Solo,Cultural,Homestay,Vegetarian,"Jaipur, Goa, Mumbai",English,Rishikesh,40000-50000,Tropical,Medium,Resort,Science meeting least detail notice whether.,North Indian,3,Inside bag list good.,"Fort Kochi, Thekkady"
Rishikesh,133313,98197,2024-03-01,2024-09-26,Group,"Adventure, Food-related, Cultural",Villa,Vegetarian,"Goa, Varanasi",English,Rishikesh,140000-150000,Moderate,High,Hostel,Personal necessary able matter office apply.,North Indian,5,Republican public never allow all painting.,Kashi Vishwanath Temple
Leh,54280,195846,2024-07-14,2024-08-07,Solo,"Nature, Cultural, Adventure",Homestay,Seafood,"Manali, Goa, Jaipur",English,Goa,0-10000,Snowy,High,Homestay,Until thus describe language create push.,South Indian,4,Level everyone enough mean assume article service.,Periyar Wildlife Sanctuary
Leh,147510,195425,2024-01-28,2024-06-28,Couple,"Adventure, Relaxation, Cultural",Villa,South Indian,"Manali, Leh, Kerala",English,Varanasi,90000-100000,Moderate,Medium,Resort,Whose minute require.,North Indian,5,Generation system economic girl police film.,"Solang Valley, Rohtang Pass"
Rishikesh,109200,37785,2024-08-17,2024-10-06,Solo,"Food-related, Cultural",Villa,North Indian,"Goa, Leh, Andaman",English,Mumbai,50000-60000,Tropical,Medium,Hostel,Go act job stay.,North Indian,2,Hand learn let.,"Munnar, Alleppey, Varkala"
Goa,39640,33680,2024-06-04,2024-06-06,Family,"Relaxation, Nature, Adventure",Hostel,North Indian,"Goa, Manali, Leh",English,Delhi,90000-100000,Tropical,High,Resort,Manage suggest community.,Seafood,4,Bit hard lose throw care ten.,"Fort Kochi, Thekkady"
Rishikesh,88926,158854,2024-11-11,2024-11-12,Group,Adventure,Hostel,Vegetarian,"Kerala, Manali, Mumbai",English,Jaipur,40000-50000,Snowy,Low,Hostel,Sea view fish expect manage send.,Street Food,4,Near contain them them like.,Kashi Vishwanath Temple
Manali,133780,11437,2024-10-28,2024-11-16,Family,Relaxation,Hotel,South Indian,"Mumbai, Delhi, Jaipur",English,Goa,50000-60000,Moderate,Medium,Villa,Subject box treat.,Seafood,2,Artist speech son certain.,Periyar Wildlife Sanctuary
Kerala,28649,22425,2024-01-21,2025-01-07,Solo,"Food-related, Nature, Adventure",Hotel,South Indian,"Goa, Leh",English,Rishikesh,110000-120000,Tropical,High,Villa,You space cold edge.,Seafood,3,Soldier full maybe how rule author.,"Solang Valley, Rohtang Pass"
Rishikesh,172760,53763,2024-07-21,2024-12-24,Couple,"Cultural, Nature",Homestay,North Indian,"Mumbai, Goa",English,Jaipur,90000-100000,Snowy,Medium,Hotel,Nor clearly rule ten brother.,South Indian,2,Sure dream in father.,"Munnar, Alleppey, Varkala"
Goa,153457,123297,2024-07-23,2024-08-23,Couple,"Cultural, Relaxation, Adventure",Homestay,Seafood,Varanasi,English,Jaipur,140000-150000,Snowy,Low,Villa,Appear hot product.,North Indian,3,Throw use drug.,"Fort Kochi, Thekkady"
Kerala,81090,173419,2024-11-04,2024-11-09,Solo,"Nature, Relaxation, Food-related",Hotel,North Indian,"Goa, Jaipur, Manali",English,Mumbai,10000-20000,Tropical,High,Hotel,Or seven strong oil eight per.,Seafood,4,Door here explain range stand.,Kashi Vishwanath Temple
Jaipur,139646,169286,2024-02-27,2024-10-13,Couple,"Relaxation, Adventure",Homestay,Seafood,"Delhi, Manali",English,Rishikesh,130000-140000,Moderate,High,Hotel,Newspaper tax arrive.,Street Food,4,Choose Democrat collection price.,Periyar Wildlife Sanctuary
Manali,89834,156605,2024-01-06,2024-04-12,Group,"Relaxation, Adventure",Villa,South Indian,Varanasi,English,Manali,80000-90000,Snowy,Medium,Villa,Far usually what.,Vegetarian,5,Behind clearly carry letter.,"Solang Valley, Rohtang Pass"
Varanasi,34669,140995,2024-12-03,2024-12-13,Couple,"Food-related, Cultural",Villa,South Indian,"Mumbai, Goa, Kerala",English,Jaipur,60000-70000,Moderate,High,Hotel,Member eye week ground education interview.,Seafood,2,Third sometimes group water.,"Munnar, Alleppey, Varkala"
Kerala,164208,69963,2024-06-17,2024-08-10,Group,"Nature, Food-related, Relaxation",Hostel,North Indian,"Varanasi, Mumbai, Goa",English,Goa,70000-80000,Tropical,High,Resort,Growth let war.,North Indian,2,Idea prepare dinner way.,"Fort Kochi, Thekkady"
Rishikesh,37417,170594,2024-03-07,2024-08-20,Solo,"Cultural, Nature",Villa,Seafood,"Manali, Kerala, Varanasi",English,Manali,170000-180000,Snowy,Low,Hotel,Rich play vote seven.,Seafood,2,Most action amount personal total.,Kashi Vishwanath Temple
Varanasi,149438,5652,2024-06-12,2024-10-18,Group,"Nature, Cultural, Relaxation",Resort,South Indian,"Andaman, Delhi, Varanasi",English,Goa,170000-180000,Tropical,High,Villa,Value deal build interesting.,Seafood,4,Eight reflect several attention realize less.,Periyar Wildlife Sanctuary
Rishikesh,21533,145594,2024-09-05,2024-10-16,Couple,"Adventure, Cultural, Food-related",Villa,Seafood,Leh,English,Goa,120000-130000,Tropical,Medium,Villa,Protect often wonder so rich practice.,North Indian,1,Chance compare no technology worker.,"Solang Valley, Rohtang Pass"
Kerala,175287,57201,2024-08-09,2024-11-12,Family,"Adventure, Relaxation, Food-related",Hotel,Seafood,"Delhi, Mumbai, Goa",English,Delhi,20000-30000,Moderate,Medium,Hotel,Focus former build spend.,South Indian,1,Season meet remember both through.,"Munnar, Alleppey, Varkala"
Mumbai,149511,125208,2024-07-08,2024-07-26,Family,"Cultural, Food-related, Relaxation",Villa,Vegetarian,"Delhi, Leh",English,Mumbai,10000-20000,Snowy,High,Hostel,Deep yes travel less Congress total.,Seafood,4,And far such ok.,"Fort Kochi, Thekkady"
Manali,127077,151137,2024-07-24,2024-09-12,Couple,Food-related,Villa,South Indian,"Manali, Andaman",English,Rishikesh,90000-100000,Snowy,High,Homestay,Market focus couple.,North Indian,5,Down sing nice environmental.,Kashi Vishwanath Temple
Kerala,35359,147678,2024-02-02,2024-10-22,Couple,"Adventure, Relaxation, Cultural",Hostel,Vegetarian,"Andaman, Goa",English,Manali,100000-110000,Tropical,Low,Hostel,Could understand end as.,Street Food,2,Eight maybe debate throw.,Periyar Wildlife Sanctuary
Rishikesh,150097,127262,2024-03-12,2024-10-19,Group,Nature,Resort,South Indian,"Leh, Rishikesh, Manali",English,Andaman,40000-50000,Snowy,Medium,Homestay,Enjoy performance such.,Street Food,2,Soldier move thought letter especially cause.,"Solang Valley, Rohtang Pass"
Mumbai,126816,79405,2024-10-28,2024-11-08,Solo,"Cultural, Adventure",Resort,Street Food,"Manali, Leh, Mumbai",English,Rishikesh,100000-110000,Snowy,High,Hostel,Receive practice education kitchen.,Street Food,3,Season control bad weight skin system.,"Munnar, Alleppey, Varkala"
Jaipur,80111,38919,2024-09-10,2024-10-03,Couple,"Nature, Adventure, Relaxation",Hostel,North Indian,Manali,English,Manali,120000-130000,Moderate,High,Hostel,Some pretty decision.,North Indian,3,Particularly purpose voice need identify.,"Fort Kochi, Thekkady"
Kerala,42364,132873,2024-11-01,2024-11-03,Family,Nature,Hostel,South Indian,Jaipur,English,Jaipur,60000-70000,Moderate,Medium,Villa,Region build wide.,Street Food,5,Away southern cultural past party.,Kashi Vishwanath Temple
Varanasi,101413,126397,2024-08-18,2024-10-27,Solo,Cultural,Homestay,Vegetarian,Kerala,English,Kerala,190000-200000,Tropical,Medium,Villa,Radio rise affect.,Seafood,5,Practice attorney voice television.,Periyar Wildlife Sanctuary
Leh,115995,117660,2024-04-06,2024-12-08,Couple,Relaxation,Hotel,Street Food,Goa,English,Mumbai,180000-190000,Snowy,High,Homestay,Already pick perform face.,Seafood,5,Sea player seven unit she policy.,"Solang Valley, Rohtang Pass"
Manali,17976,55336,2024-09-12,2024-11-22,Group,"Food-related, Cultural, Adventure",Villa,Seafood,Kerala,English,Mumbai,90000-100000,Moderate,High,Villa,Contain American speak offer cold.,South Indian,5,Dinner pass operation side allow beat.,"Munnar, Alleppey, Varkala"
Leh,191846,55775,2024-06-29,2024-11-01,Family,Food-related,Hostel,Street Food,"Andaman, Kerala",English,Kerala,30000-40000,Tropical,Low,Hostel,Those sing family society.,Street Food,5,Security page consider.,"Fort Kochi, Thekkady"
Rishikesh,168126,124628,2024-12-05,2024-12-15,Group,"Nature, Adventure",Hostel,Street Food,"Varanasi, Andaman",English,Varanasi,130000-140000,Tropical,Medium,Homestay,Book very huge relate if particular.,Street Food,4,Everyone listen certainly know walk staff figure.,Kashi Vishwanath Temple
Mumbai,186195,187338,2024-05-09,2024-06-17,Couple,"Relaxation, Adventure, Food-related",Hotel,Street Food,"Mumbai, Andaman",English,Delhi,60000-70000,Tropical,Low,Villa,Base subject build these move.,Seafood,5,Plant store church shake.,Periyar Wildlife Sanctuary
Rishikesh,52507,29488,2024-10-11,2024-10-27,Solo,Food-related,Hotel,Seafood,"Varanasi, Goa",English,Manali,190000-200000,Moderate,Medium,Villa,Shake close goal.,South Indian,1,Sure audience market.,"Solang Valley, Rohtang Pass"
Manali,55126,137507,2024-03-02,2024-09-29,Couple,Relaxation,Hostel,Vegetarian,"Jaipur, Delhi, Goa",English,Jaipur,90000-100000,Tropical,Low,Hotel,West others painting maintain human.,Vegetarian,3,Open near stay attention.,"Munnar, Alleppey, Varkala"
Andaman,14309,180550,2024-05-18,2024-06-11,Solo,"Cultural, Nature",Hostel,North Indian,"Delhi, Manali",English,Manali,120000-130000,Tropical,High,Homestay,Cost own produce dinner measure authority.,South Indian,1,Past already approach.,"Fort Kochi, Thekkady"
Mumbai,6013,9044,2024-06-08,2024-06-27,Solo,"Adventure, Cultural, Food-related",Homestay,Seafood,"Mumbai, Manali",English,Leh,190000-200000,Tropical,High,Homestay,Future political away across air billion.,South Indian,2,Wide PM century hope.,Kashi Vishwanath Temple
Varanasi,105390,176796,2024-08-27,2024-09-11,Solo,"Relaxation, Cultural",Hostel,South Indian,"Mumbai, Goa, Delhi",English,Kerala,40000-50000,Moderate,Medium,Villa,Loss investment talk.,Vegetarian,4,Right relationship kind be whose he.,Periyar Wildlife Sanctuary
Varanasi,92946,177153,2024-07-09,2024-10-03,Solo,"Nature, Cultural, Food-related",Hotel,Seafood,Rishikesh,English,Goa,80000-90000,Moderate,Medium,Villa,Author fact goal wonder could.,Vegetarian,1,Include tell group.,"Solang Valley, Rohtang Pass"
Andaman,120343,6923,2024-04-02,2024-08-22,Couple,"Relaxation, Nature",Homestay,South Indian,"Andaman, Rishikesh, Manali",English,Delhi,30000-40000,Tropical,Medium,Homestay,Draw national that activity certain specific.,Street Food,3,Memory term require arrive bag.,"Munnar, Alleppey, Varkala"
Rishikesh,100239,193106,2024-06-08,2024-12-07,Group,"Food-related, Relaxation, Nature",Hotel,Vegetarian,"Mumbai, Manali, Kerala",English,Mumbai,100000-110000,Snowy,Low,Hostel,Social amount old management talk.,South Indian,5,Quite even party study.,"Fort Kochi, Thekkady"
Jaipur,144049,107956,2024-06-30,2024-08-14,Couple,Relaxation,Villa,North Indian,Jaipur,English,Andaman,160000-170000,Snowy,High,Resort,Hope say who hard spend seat.,Vegetarian,2,Probably month win better though.,Kashi Vishwanath Temple
Andaman,199662,115521,2024-08-23,2024-09-29,Family,"Nature, Relaxation",Hotel,South Indian,"Varanasi, Delhi",English,Jaipur,70000-80000,Tropical,Medium,Homestay,Issue seven process.,Street Food,3,Which list base wrong instead.,Periyar Wildlife Sanctuary
Goa,89579,28585,2024-10-29,2024-12-24,Family,Nature,Hotel,South Indian,"Kerala, Mumbai",English,Delhi,70000-80000,Tropical,Medium,Villa,Result avoid turn history four herself.,Vegetarian,5,Describe girl final democratic result.,"Solang Valley, Rohtang Pass"
Jaipur,170843,134599,2024-06-18,2025-01-05,Solo,"Relaxation, Food-related, Adventure",Homestay,North Indian,"Goa, Kerala",English,Jaipur,140000-150000,Snowy,Medium,Hotel,Own western property trouble forget.,North Indian,1,One through then lead large.,"Munnar, Alleppey, Varkala"
Rishikesh,171056,100109,2024-12-12,2024-12-23,Solo,"Adventure, Food-related",Villa,South Indian,"Mumbai, Rishikesh",English,Kerala,130000-140000,Tropical,High,Hotel,Blue bank face.,North Indian,5,As must product top each.,"Fort Kochi, Thekkady"
Kerala,195601,128000,2024-01-12,2024-11-18,Solo,"Relaxation, Food-related, Adventure",Resort,South Indian,"Andaman, Jaipur, Varanasi",English,Varanasi,160000-170000,Moderate,Low,Hotel,Fire matter without at true.,Street Food,5,Lead try listen little energy.,Kashi Vishwanath Temple
Jaipur,105403,68954,2024-03-06,2024-04-03,Couple,"Relaxation, Cultural, Adventure",Hostel,Street Food,Goa,English,Goa,180000-190000,Tropical,Medium,Hostel,By specific experience also hot.,Seafood,1,Nation guess color book able.,Periyar Wildlife Sanctuary
Rishikesh,49619,153348,2024-04-13,2024-12-11,Solo,"Nature, Relaxation, Cultural",Hotel,North Indian,Delhi,English,Kerala,60000-70000,Moderate,High,Hostel,Site human information say various tell.,Street Food,4,Amount student anything environmental church.,"Solang Valley, Rohtang Pass"
